rank,product,brand,rating,feature,rec_type,category,review
7736,라포티셀 킵 유어 유스 울트라 리프트 데일리 에센스 40ml ,코스온,4.9, 촉촉함(수분공급),"안티에이징, 유수분밸런스조절, 피부탄력, 영양공급",에센스,47
7737,엔프라니 닥터힐다 멜라닌 딥 컨트롤러 ,엔프라니,4.8, 화이트닝,화이트닝,에센스,8
7738,더샘 아이슬란드 수분 더블 세럼 60ml ,더샘,4.8, 화이트닝,화이트닝,에센스,25
7739,엔프라니 닥터힐다 워터플렉션 파워 임팩트 세럼 50ml ,엔프라니,4.8, ,모든피부용,에센스,27
7740,폴라초이스 캄 세럼 30ml ,폴라초이스,4.5," 건성, 중건성","건성, 중건성",에센스,30
7741,수려한 수 천삼 선유 진액 40ml ,엘지생활건강,4.4, ,모든피부용,에센스,16
7742,코스포유 바이탈 앰플 수딩 30ml ,더마밀,5," 촉촉함(수분공급), 트러블케어","피부강화, 피부탄력, 영양공급",에센스,30
7743,백옥생 퓨어스노이 MF 에센스 40ml ,정산생명공학,4.8," 촉촉함(수분공급), 트러블케어","피부강화, 피부탄력, 영양공급",에센스,66
7744,참존 디에이지 레드 와인 에스 에센스 50ml ,참존,4.7," 촉촉함(수분공급), 트러블케어","피부강화, 피부탄력, 영양공급",에센스,21
7745,오리진스 닥터 앤드류 와일 플랜티도트 메가 머쉬룸 페이스 세럼 50ml ,오리진스,4.8," 촉촉함(수분공급), 트러블케어","피부강화, 피부탄력, 영양공급",에센스,122
7746,1.0 티트리 부스터 25ml ,2019.07.,4, 트러블케어,트러블케어,에센스,4
7747,리더스 인솔루션 멀티 비타 세럼 90ml ,리더스,4.9, 화이트닝,화이트닝,에센스,29
7748,크리니크 프레쉬 프레스드™ 데일리 부스터 34ml ,크리니크,4.9, 촉촉함(수분공급),"화이트닝, 영양공급",에센스,24
7749,프라우드메리 히알루론 콤플렉스 60% 수분 앰플 50ml ,메디안스,4.8, ,모든피부용,에센스,19
7750,"피토메르 올리고포스 세럼 쀼리피앙 50ml(지성, 복합) ",피토메르,4.9, 트러블케어,트러블케어,에센스,30
7751,아이오페 클리닉 인텐시브 스팟 샷 연고 20ml ,아모레퍼시픽,4.8, ,모든피부용,에센스,44
7752,록시땅 이모르뗄 프레셔스 세럼 30ml ,록시땅,4.8, ,모든피부용,에센스,66
7753,마몽드 퓨어 화이트 2X 이펙터 50ml ,아모레퍼시픽,4.9, 화이트닝,화이트닝,에센스,71
7754,시세이도 바이탈 퍼펙션 화이트 서큘레이터 세럼 40ml ,시세이도,5, 화이트닝,화이트닝,에센스,3
7755,달팡 탠저린 아로마틱 케어 15ml ,달팡,4.7, ,모든피부용,에센스,64
7756,메디큐브 세라마이드 퍼스트 에센스 140ml ,메디큐브,4.7, ,140ml(g),에센스,64
7757,라네즈 퍼펙트 리뉴 나이트 트리트먼트 40ml ,아모레퍼시픽,4.8, ,140ml(g),에센스,57
7758,닥터자르트 V7 스팟 이레이저 5ml(리필) ,닥터자르트,4.7, ,140ml(g),에센스,27
7759,토니모리 토니 랩 에이씨 컨트롤 핑크 딥 스팟 25ml ,토니모리,4.7, 트러블케어,모공케어,에센스,11
7760,리리코스 마린 스노우 화이트 큐어 앰플 6개 세트 ,아모레퍼시픽,4.9, 화이트닝,화이트닝,에센스,37
